"RSKMRJWK","MJDAY30A","IRSEX","Freq"
"No risk","0","Male",600
"Slight risk","0","Male",1304
"Moderate risk","0","Male",1723
"Great risk","0","Male",1747
"No risk","1","Male",166
"Slight risk","1","Male",149
"Moderate risk","1","Male",33
"Great risk","1","Male",8
"No risk","0","Female",406
"Slight risk","0","Female",1143
"Moderate risk","0","Female",1699
"Great risk","0","Female",1731
"No risk","1","Female",156
"Slight risk","1","Female",182
"Moderate risk","1","Female",83
"Great risk","1","Female",22
